date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2020-09-26,SE-14,Sabah,N.40 Bingkor,1,Peter Saili,20212,WARISAN,74,2821,23.96567836207629,lost,Bingkor,False
2020-09-26,SE-14,Sabah,N.40 Bingkor,2,Alphonsus Bin Felix,21963,PCS,75,447,3.79746835443038,lost_deposit,Bingkor,False
2020-09-26,SE-14,Sabah,N.40 Bingkor,3,Engah Bin Sintan @ Dahlan Bin Abdullah,21964,USNO,15,104,0.8835273128876051,lost_deposit,Bingkor,False
2020-09-26,SE-14,Sabah,N.40 Bingkor,4,Peter Jino Allion,20209,PBS,48,298,2.5316455696202533,lost_deposit,Bingkor,False
2020-09-26,SE-14,Sabah,N.40 Bingkor,5,Julius Favianus,21966,LDP,58,210,1.7840455356384333,lost_deposit,Bingkor,False
2020-09-26,SE-14,Sabah,N.40 Bingkor,6,Robert Tawik,20211,PN,12,7891,67.03763486534704,won,Bingkor,True
2020-09-26,SE-14,Sabah,N.41 Liawan,1,Datuk Jake Nointin,5104,BEBAS,1,1835,15.51010058321359,lost,Liawan,False
2020-09-26,SE-14,Sabah,N.41 Liawan,2,Yatin Kukung,21969,LDP,58,45,0.3803566900515595,lost_deposit,Liawan,False
2020-09-26,SE-14,Sabah,N.41 Liawan,3,Daniel Kinsik,4332,PBS,48,1084,9.162370044797566,lost_deposit,Liawan,False
2020-09-26,SE-14,Sabah,N.41 Liawan,4,Annuar Ayub @ Banand,21971,PN,12,4628,39.11757247908038,won,Liawan,False
2020-09-26,SE-14,Sabah,N.41 Liawan,5,Mazlan Bin Abdul Latiff,21972,PCS,75,209,1.7665455160172427,lost_deposit,Liawan,False
2020-09-26,SE-14,Sabah,N.41 Liawan,6,Rasinin Bin Koutis @ Kautis,5102,WARISAN,74,3987,33.69960273856817,lost,Liawan,True
2020-09-26,SE-14,Sabah,N.41 Liawan,7,Leong Chau Chu,10246,USNO,15,43,0.36345194827149013,lost_deposit,Liawan,False
2020-09-26,SE-14,Sabah,N.42 Melalap,1,Apiang Bin Sausun,21975,PCS,75,268,2.563857265856692,lost_deposit,Melalap,False
2020-09-26,SE-14,Sabah,N.42 Melalap,2,Datuk Seri Radin Malleh,21976,PBS,48,1359,13.00105232947479,lost,Melalap,False
2020-09-26,SE-14,Sabah,N.42 Melalap,3,Sazali Bin Justi,21977,USNO,15,32,0.3061322108485602,lost_deposit,Melalap,False
2020-09-26,SE-14,Sabah,N.42 Melalap,4,Peter Anthony,20221,WARISAN,74,5245,50.17698268439682,won,Melalap,True
